,0
lotamilast,-0.014408392932337767
asivatrep,-0.03254751358723113
etrasimod,0.010779466462343026
hPGDS-IN-1,-0.0178318245398568
vixotrigine,0.0021223340331813444
dasotraline,-0.08456219371356238
BAY1217389,-0.1838716757123331
atuveciclib,-0.014798496786612242
PF-05089771,-0.046737335936940405
MIW-815,-0.03542383149635843
S49076,0.00436002519233853
batefenterol,0.01827092462795695
Ro-5028442,-0.0050070100820239745
segesterone-acetate,-0.004432236509038186
olodanrigan,-0.026652400678571008
AM211,0.0591560045465194
imisopasem-manganese,-0.1039936165557999
TAK-779,-0.021015692075634623
eribulin,-0.19236087610950078
Debio-0932,-0.04554559583835504
abarelix,-0.0013860661441244657
banoxantrone,-0.1932527311159274
belotecan,-0.014525885492515272
buserelin,-0.003601924004475491
crolibulin,-0.18832273421870652
oglufanide,0.05913890565713183
sardomozide,-0.05665316237348331
GSK189254,0.017783312651532632
macitentan-n-butyl-analogue,-0.0070537063840536525
BMS-582949,-0.00037125484840059783
RAD140,0.0402537007971781
pavinetant,0.0335687298734697
DWK-1339,-0.0008268195762110566
E7820,-0.15346445945194934
SJG-136,-0.07596998812617013
soblidotin,-0.23096244894346585
rolapitant,-0.06508578209000607
karenitecin,-0.031014299021605886
indeglitazar,-0.049660428319253234
lasmiditan,-0.012443729184414939
verucerfont,-0.01674738792415671
cenicriviroc,-0.04996588324402746
gemigliptin,-0.03093522853472348
succinobucol,-0.06420329306457948
ozenoxacin,-0.04104676746470624
EMD534085,-0.14240237250552487
SSR240612,-0.07631269326226653
guadecitabine,-0.1419234431637146
capromorelin,0.006143607704715186
BMS-911543,0.10822940751668861
MK-0557,-0.021185940661146818
fostemsavir,0.05684581629235618
PSI-697,-0.021093224226196357
MK-7622,-0.031085759268219562
LY2795050,-0.06363130016534536
ONO-4059,-0.00464832485506012
revefenacin,-0.008062831450962439
MK-7246,0.008570334064527207
tenapanor,0.05085556180678126
citarinostat,0.05991601950689721
BMS-214662,0.11898289419328668
celgosivir,-0.028736652491587925
D-3263,-0.1585265532390669
emiglitate,0.022227436272160502
ethynylcytidine,-0.08419341182055361
imirestat,0.012570508610634294
JI-101,0.021237384437517437
osilodrostat,-0.00434585440011401
lurbinectedin,0.05263870173029219
omtriptolide,-0.06856809288948873
PCI-27483,0.04177167678419154
sapacitabine,-0.14817615592367006
squalamine,-0.008646545055660605
relugolix,0.05539521943618807
transcrocetinate,0.016734728093788863
upamostat,-0.08579327902580818
acumapimod,0.06386990517771836
basmisanil,-0.024692397323369003
tradipitant,-0.23009128908507082
amiselimod,0.03722192417969708
avoralstat,0.04215174539480585
eleclazine,-0.03782318370474359
emeramide,0.019702968031410403
ralinepag,0.022502937532383395
seletalisib,-0.03281693057120342
verubecestat,0.010306726661964154
asapiprant,0.014075243440930954
doravirine,-0.013538664115447407
fevipiprant,-0.051021593540967386
valbenazine,-0.06408218654093355
vericiguat,-0.004724981910861563
veledimex,-0.05720532549049661
firsocostat,-0.1763277105919193
mavatrep,-0.2307244592656211
sitravatinib,-0.006269562067185401
fluralaner,-0.01531990230894735
eravacycline,-0.04322549509759588
sancycline,-0.0011155200584147926
