,dir,dep,lineage
ACH-000719,0.8681051512882144,-0.37028855625298396,Ovary/Fallopian Tube
ACH-001396,0.892709063733703,-0.27700910468426615,Breast
ACH-001848,0.8465388673958064,-0.3767295364260947,Biliary Tract
ACH-000339,0.8511590257241125,-0.43052345221147736,Lung
ACH-002048,0.8696183159146248,-0.5751435681324298,Soft Tissue
ACH-002486,0.8625047786624015,-0.5712958788784637,Ovary/Fallopian Tube
ACH-002711,0.850154329609377,-0.28922170557934124,Head and Neck
ACH-000215,0.8446019790096665,-0.41645818138346624,CNS/Brain
ACH-001001,0.8874197357344764,-0.7114387126952543,Bone
ACH-000407,0.8587687905793968,-0.389151129566628,Uterus
ACH-002027,0.8618528718113215,-0.42107014235949586,Uterus
ACH-001278,0.8666883445834609,-0.628471032349672,Ovary/Fallopian Tube
ACH-001419,0.8761364428170662,-0.4062814393224016,Breast
ACH-000865,0.8858905637660317,-0.45756955842630065,Esophagus/Stomach
ACH-001523,0.8381798961594307,-0.46766810148882676,Skin
ACH-000024,0.8854304311499109,-0.4164714360375337,Lymphoid
ACH-000599,0.8605311675504185,-0.31345496365722414,Pancreas
ACH-000263,0.8672686891995638,-0.42077219029768737,Myeloid
ACH-000303,0.8697137322279271,-0.43131037346682166,Esophagus/Stomach
ACH-001551,0.8666390670795513,-0.5730899973378799,Skin
ACH-000793,0.8628377941506032,-0.5438894621340763,Esophagus/Stomach
ACH-002511,0.8186672600891765,-0.21385882713492058,Skin
ACH-000286,0.863238605440362,-0.4825901071501577,Bowel
ACH-000250,0.8514421359695019,-0.3308973354721319,Kidney
ACH-000139,0.8560240022247068,-0.2258414930418987,Pancreas
ACH-001735,0.8583303149554401,-0.5034556128633969,Lymphoid
ACH-001389,0.8577440068197554,-0.47375923432847694,Breast
ACH-001183,0.8567176537128559,-0.3600416294234679,Bladder/Urinary Tract
ACH-000551,0.8635659712784342,-0.5543797988491104,Myeloid
ACH-001163,0.8766445974592896,-0.5258584179423711,Kidney
ACH-000037,0.8568968731697488,-0.27251775813328094,Soft Tissue
ACH-000420,0.8525438177447977,-0.33955254717664424,Liver
ACH-000336,0.8617370539836625,-0.7116687499381131,Myeloid
ACH-000486,0.8541950849299349,-0.5041537049197593,Bladder/Urinary Tract
ACH-001557,0.8421261767750416,-0.3852621410295833,Pleura
